customer_id,email,country,age,signup_date,plan_type,monthly_revenue,is_churned,churn_date,acquisition_channel,device_type,preferred_genres,activity_level
CUST_000048,harveyrobert@example.net,TM,36,2024-10-18,premium,22.99,False,,social,tablet,Romance|Western,high
CUST_000049,sarah35@example.org,IN,23,2025-05-21,standard,15.49,True,2026-04-28,referral,gaming_console,History|Thriller|Documentary|Action & Adventure,low
CUST_000050,emilyevans@example.com,GB,34,2025-02-11,premium,22.99,False,,organic,desktop,Drama|Adventure|Crime|Science Fiction,medium
CUST_000051,smithchristine@example.net,BZ,55,2026-04-06,standard,15.49,False,,social,desktop,Mystery|Crime,high
CUST_000052,williamanderson@example.com,BJ,42,2024-06-05,premium,22.99,False,,tv_ad,tablet,Family|Animation|Kids,low
CUST_000053,mikemoore@example.net,MA,54,2026-02-21,premium,22.99,False,,organic,gaming_console,Comedy|War|Documentary|Animation,medium
CUST_000054,contrerasangela@example.net,CA,32,2024-11-30,premium,22.99,False,,paid_search,gaming_console,Fantasy|Adventure|Action,high
CUST_000055,josephpreston@example.net,TG,58,2026-04-09,standard,15.49,False,,organic,tablet,Fantasy|Documentary|Drama|Science Fiction,low
CUST_000056,juan35@example.org,LA,38,2024-08-08,standard,15.49,True,2025-04-07,paid_search,mobile,News|Drama|Mystery,high
CUST_000057,william40@example.org,ZW,70,2025-08-15,basic,9.99,False,,referral,tablet,Reality|Sci-Fi & Fantasy|Action & Adventure,medium
CUST_000058,bradley52@example.net,IN,32,2025-03-05,premium,22.99,False,,referral,gaming_console,Crime|Mystery,low
CUST_000059,barnold@example.net,AG,41,2024-08-13,standard,15.49,True,2025-01-24,tv_ad,desktop,War|Sci-Fi & Fantasy|Horror,low
CUST_000060,landryhannah@example.org,ST,57,2024-07-05,premium,22.99,False,,tv_ad,tablet,Documentary|Adventure,medium
CUST_000061,brandi26@example.org,BB,37,2024-05-07,premium,22.99,False,,referral,smart_tv,Science Fiction|Crime,high
CUST_000062,rachel05@example.org,KZ,33,2024-12-05,basic,9.99,True,2025-10-06,paid_search,desktop,Comedy|Kids,low
CUST_000063,gomezanita@example.com,VN,27,2024-10-20,standard,15.49,False,,referral,smart_tv,Music|Horror|History|Thriller,high
CUST_000064,sarayoung@example.org,EE,46,2025-11-13,standard,15.49,False,,paid_search,tablet,Romance|Music|Talk,medium
CUST_000065,vjohnson@example.com,NG,35,2026-02-23,basic,9.99,False,,paid_search,smart_tv,Horror|Science Fiction|Talk,low
CUST_000066,josephcobb@example.org,MU,21,2025-12-24,standard,15.49,True,2026-07-12,paid_search,mobile,Science Fiction|Action,high
CUST_000067,garrisonjeffrey@example.com,MG,68,2026-02-16,premium,22.99,False,,tv_ad,smart_tv,Family|Thriller|Adventure|Western,high
CUST_000068,jeffreykeller@example.com,LS,29,2024-12-03,standard,15.49,False,,organic,smart_tv,Drama|Horror,medium
CUST_000069,rasmussenjoshua@example.net,SE,34,2024-11-12,basic,9.99,True,2025-01-07,paid_search,desktop,Thriller|Western,low
CUST_000070,sheila14@example.org,TT,50,2025-02-14,premium,22.99,True,2026-01-13,organic,desktop,Kids|Crime,medium
CUST_000071,rodriguezryan@example.net,KW,59,2024-11-02,premium,22.99,False,,organic,smart_tv,Romance|News|Documentary|Reality,medium
CUST_000072,cruzbarbara@example.com,BD,46,2025-03-14,standard,15.49,False,,organic,smart_tv,Documentary|Soap|Kids,high
CUST_000073,zsmith@example.net,LA,55,2025-10-12,standard,15.49,False,,tv_ad,tablet,Drama|Sci-Fi & Fantasy,high
CUST_000074,michaeljones@example.net,LS,68,2025-10-20,standard,15.49,False,,organic,gaming_console,Comedy|Crime|Reality|Action,medium
CUST_000075,elizabeth14@example.net,KR,47,2025-08-07,premium,22.99,False,,referral,desktop,Crime|Adventure|History,medium
CUST_000076,snguyen@example.com,TG,27,2025-09-09,premium,22.99,True,2026-06-08,organic,smart_tv,Western|Documentary|Sci-Fi & Fantasy,low
CUST_000077,robertbentley@example.net,AE,53,2024-07-17,basic,9.99,True,2024-09-15,tv_ad,gaming_console,News|Talk,medium
CUST_000078,christinaturner@example.net,AD,66,2026-03-12,premium,22.99,False,,referral,smart_tv,History|Talk,high
CUST_000079,jason99@example.net,LI,60,2024-12-02,standard,15.49,False,,referral,mobile,Soap|Thriller|Reality,medium
CUST_000080,nramos@example.net,PY,69,2025-04-06,basic,9.99,False,,referral,gaming_console,Talk|Soap|Fantasy|Sci-Fi & Fantasy,medium
CUST_000081,donnacampbell@example.net,ZW,35,2025-12-17,premium,22.99,False,,organic,mobile,Horror|War|Action|Documentary,high
CUST_000082,clarence34@example.org,FJ,27,2025-08-03,standard,15.49,False,,tv_ad,desktop,Western|Talk|War,low
CUST_000083,williamstracey@example.net,BN,44,2024-08-02,basic,9.99,True,2025-04-21,social,mobile,War|Mystery|News|Reality,low
CUST_000084,kmercado@example.org,VC,21,2025-03-29,standard,15.49,False,,paid_search,mobile,Fantasy|Thriller|Action,low
CUST_000085,psnyder@example.org,TD,49,2025-10-02,premium,22.99,True,2026-09-07,referral,desktop,Sci-Fi & Fantasy|Crime,medium
CUST_000086,staffordmichelle@example.org,NO,55,2025-09-26,standard,15.49,False,,referral,gaming_console,Soap|Talk|History|Comedy,high
CUST_000087,lindadominguez@example.com,BE,31,2024-09-26,premium,22.99,False,,social,mobile,Animation|Action,low
CUST_000088,samanthamartinez@example.org,PL,45,2025-06-16,basic,9.99,False,,paid_search,mobile,Western|Soap|War,medium
CUST_000089,stephanie79@example.net,SD,69,2025-09-10,standard,15.49,False,,social,smart_tv,Reality|Horror,high
CUST_000090,vmerritt@example.com,PG,22,2025-03-07,standard,15.49,False,,social,gaming_console,History|War,medium
CUST_000091,maryramirez@example.net,RU,38,2024-10-28,standard,15.49,False,,paid_search,gaming_console,Science Fiction|History|Comedy|Soap,medium
CUST_000092,joshuajones@example.com,GW,55,2025-08-09,standard,15.49,False,,referral,gaming_console,Mystery|History|Soap,medium
CUST_000093,luis81@example.org,CZ,28,2024-11-07,basic,9.99,False,,organic,gaming_console,News|Western|Adventure,medium
CUST_000094,tbenson@example.org,BI,59,2024-10-06,premium,22.99,True,2025-01-19,paid_search,smart_tv,Family|Fantasy|Talk|News,high
CUST_000095,drivera@example.com,BH,59,2025-02-26,basic,9.99,False,,organic,mobile,Action|Drama,high
CUST_000096,xprice@example.net,MC,54,2024-09-17,premium,22.99,False,,tv_ad,tablet,Fantasy|Thriller|Crime|Documentary,high
CUST_000097,wwoods@example.com,GB,68,2024-04-25,premium,22.99,False,,social,gaming_console,Mystery|Kids|Crime,high
CUST_000098,vmedina@example.net,UY,21,2025-02-06,basic,9.99,False,,social,tablet,Comedy|Crime,medium
CUST_000099,tracynelson@example.com,AT,55,2026-03-08,basic,9.99,False,,tv_ad,smart_tv,Action|Reality,medium
CUST_000100,elizabeth62@example.com,CN,27,2025-02-06,standard,15.49,False,,organic,desktop,Science Fiction|Family|Western|Action,medium
CUST_000101,meadowsbrittany@example.net,AR,20,2025-08-06,basic,9.99,False,,paid_search,desktop,Music|Mystery|Reality,high
CUST_000102,dtaylor@example.org,BE,39,2024-06-14,standard,15.49,False,,tv_ad,smart_tv,Action & Adventure|Talk|Comedy|Animation,medium
CUST_000103,dmurphy@example.com,LU,42,2024-10-29,premium,22.99,False,,social,tablet,Western|Soap,medium
CUST_000104,aramirez@example.com,BR,40,2025-11-22,premium,22.99,False,,social,desktop,Drama|Western|Mystery|Thriller,high
CUST_000105,currybrett@example.com,GR,68,2025-04-10,basic,9.99,False,,social,mobile,Comedy|Horror,medium
CUST_000106,harringtondenise@example.org,HU,50,2025-08-27,premium,22.99,False,,social,smart_tv,Documentary|Reality|Mystery|Science Fiction,high
CUST_000107,howelljohn@example.com,SV,32,2024-09-11,standard,15.49,False,,paid_search,mobile,Western|Fantasy,medium
CUST_000108,stevenscott@example.com,DM,65,2024-07-07,basic,9.99,False,,tv_ad,smart_tv,Reality|Fantasy,medium
CUST_000109,stricklandfrank@example.com,CD,62,2025-07-24,premium,22.99,False,,tv_ad,mobile,Drama|Action|Animation|Action & Adventure,low
CUST_000110,hickmanbarbara@example.com,MY,46,2025-07-03,premium,22.99,False,,tv_ad,tablet,Talk|Documentary|News,medium
CUST_000111,charlesvaughn@example.net,HN,69,2025-10-17,premium,22.99,False,,referral,mobile,Horror|Adventure,medium
CUST_000112,melissa91@example.net,BB,44,2024-06-28,standard,15.49,False,,paid_search,mobile,Crime|Fantasy|Comedy|Animation,medium
CUST_000113,estanley@example.net,KH,53,2025-01-04,premium,22.99,True,2025-03-27,tv_ad,smart_tv,Romance|Science Fiction|Kids,high
CUST_000114,atkinsonlynn@example.org,NR,27,2024-12-31,standard,15.49,True,2025-09-10,organic,mobile,Sci-Fi & Fantasy|Crime,high
CUST_000115,bzimmerman@example.org,ES,41,2025-01-16,standard,15.49,False,,paid_search,desktop,History|Romance,medium
CUST_000116,christina87@example.com,NZ,59,2025-05-20,basic,9.99,False,,social,mobile,Western|Soap,high
CUST_000117,marcus31@example.com,PG,46,2026-01-11,basic,9.99,True,2026-12-22,organic,smart_tv,Music|Drama|Fantasy,medium
CUST_000118,qhudson@example.com,LU,45,2024-10-16,basic,9.99,False,,organic,tablet,Horror|News,high
CUST_000119,lrosales@example.com,GH,57,2024-05-02,basic,9.99,False,,referral,smart_tv,Adventure|History,high
CUST_000120,matthew94@example.net,AG,54,2025-01-10,basic,9.99,False,,paid_search,mobile,Action|Horror|War,high
CUST_000121,christophercortez@example.com,TH,60,2025-05-16,standard,15.49,False,,organic,gaming_console,Talk|Adventure|Thriller|History,low
CUST_000122,hannahbrewer@example.com,PE,20,2025-11-19,standard,15.49,True,2026-11-09,referral,tablet,Horror|Reality|War|Animation,high
CUST_000123,davisjeffrey@example.net,HN,58,2025-12-16,standard,15.49,False,,organic,gaming_console,Mystery|Talk|Adventure,high
CUST_000124,thomas85@example.com,CH,70,2024-12-03,premium,22.99,False,,paid_search,desktop,Romance|Talk,medium
CUST_000125,michael74@example.com,ID,47,2025-06-11,premium,22.99,False,,organic,tablet,Drama|Mystery,high
CUST_000126,griffithleslie@example.net,SO,50,2024-10-06,basic,9.99,True,2025-05-27,tv_ad,desktop,Romance|Western,high
CUST_000127,jamesrodgers@example.com,RS,59,2025-11-23,standard,15.49,True,2026-06-10,social,smart_tv,Family|Comedy|Talk|Fantasy,low
CUST_000128,tina34@example.org,ML,29,2025-07-11,standard,15.49,False,,referral,desktop,News|Crime|Animation,medium
CUST_000129,alexis82@example.com,BD,56,2024-08-27,standard,15.49,False,,paid_search,gaming_console,Sci-Fi & Fantasy|Mystery|News|History,low
CUST_000130,heidi27@example.org,AL,46,2024-05-22,standard,15.49,False,,tv_ad,desktop,Western|Documentary,medium
CUST_000131,taylor75@example.org,BF,40,2025-06-29,basic,9.99,False,,tv_ad,desktop,Crime|Romance|News,high
CUST_000132,ewilson@example.com,RW,41,2024-10-23,standard,15.49,False,,tv_ad,mobile,Mystery|Documentary,high
CUST_000133,hernandezlisa@example.com,BS,67,2024-06-06,basic,9.99,True,2025-06-01,social,tablet,Documentary|Crime|Romance|Drama,low
CUST_000134,grantrobert@example.net,VN,41,2024-10-19,standard,15.49,False,,social,desktop,Action|Drama,high
CUST_000135,chayes@example.com,TZ,25,2024-10-02,basic,9.99,False,,organic,mobile,Talk|Animation|Western|Science Fiction,medium
CUST_000136,ashley09@example.net,BZ,57,2025-03-09,standard,15.49,False,,social,desktop,Soap|Sci-Fi & Fantasy|Fantasy|Music,medium
CUST_000137,colleenbaker@example.org,DJ,46,2025-11-23,basic,9.99,True,2026-02-05,social,tablet,Crime|Action & Adventure,high
CUST_000138,andreamoore@example.com,PG,41,2024-10-13,premium,22.99,True,2025-07-30,paid_search,smart_tv,Comedy|Action & Adventure|Music|Science Fiction,low
CUST_000139,ocarter@example.com,MA,54,2025-09-27,basic,9.99,False,,social,desktop,Kids|War,medium
CUST_000140,ojones@example.com,YE,63,2024-11-15,premium,22.99,True,2025-08-17,tv_ad,desktop,Mystery|Comedy,low
CUST_000141,ronaldstephens@example.net,CZ,46,2025-07-12,standard,15.49,False,,referral,gaming_console,Drama|Western,high
CUST_000142,margaret10@example.org,KP,45,2026-03-16,standard,15.49,True,2026-12-28,organic,smart_tv,Science Fiction|Thriller|Action & Adventure|Fantasy,high
CUST_000143,scott74@example.net,NA,32,2025-07-16,premium,22.99,False,,social,gaming_console,Action & Adventure|Western,high
CUST_000144,mkim@example.org,NR,58,2024-11-07,standard,15.49,False,,social,gaming_console,Family|Science Fiction|Horror,medium
CUST_000145,cassandra01@example.org,GQ,56,2025-11-01,premium,22.99,True,2026-05-22,tv_ad,smart_tv,Action & Adventure|Thriller|Drama|Documentary,medium
CUST_000146,keyemily@example.com,TR,54,2026-01-19,basic,9.99,True,2026-09-19,tv_ad,smart_tv,Fantasy|Thriller|Sci-Fi & Fantasy|Science Fiction,low
CUST_000147,thomaspearson@example.com,EG,61,2024-05-11,standard,15.49,False,,referral,tablet,Comedy|Science Fiction|Kids|Adventure,high
CUST_000148,fwalters@example.org,PW,47,2025-07-08,standard,15.49,True,2025-11-19,social,gaming_console,Action & Adventure|Crime,low
CUST_000149,qcook@example.org,DK,41,2025-01-05,basic,9.99,False,,tv_ad,gaming_console,Western|News|Talk|Animation,low
CUST_000150,ssteele@example.net,MZ,24,2024-12-22,basic,9.99,False,,organic,tablet,Soap|Sci-Fi & Fantasy|Crime,medium
CUST_000151,gibsonleonard@example.com,CI,64,2026-01-01,standard,15.49,False,,social,mobile,Adventure|Action & Adventure|Western,high
CUST_000152,ahancock@example.net,SR,43,2025-12-01,basic,9.99,False,,tv_ad,desktop,Crime|Kids|Comedy|War,low
CUST_000153,hbrown@example.com,VU,59,2025-04-03,basic,9.99,False,,referral,tablet,Romance|Comedy|Kids,medium
CUST_000154,wgarrett@example.org,GA,64,2025-11-18,premium,22.99,True,2026-06-23,referral,tablet,History|Drama,high
CUST_000155,sarakim@example.net,RU,50,2024-11-03,basic,9.99,False,,referral,gaming_console,Horror|Family|Talk|Comedy,low
CUST_000156,dudleychelsea@example.org,KN,43,2024-07-13,standard,15.49,False,,social,tablet,Documentary|Action|Soap|Drama,high
CUST_000157,andrea86@example.org,GR,50,2024-08-11,premium,22.99,False,,organic,smart_tv,Family|Action,medium
CUST_000158,murraydavid@example.org,SB,50,2026-01-23,basic,9.99,True,2026-05-04,social,gaming_console,Kids|Reality|Crime,low
CUST_000159,william46@example.com,PW,50,2026-04-04,standard,15.49,False,,tv_ad,desktop,News|Comedy|Thriller|Western,medium
CUST_000160,yarnold@example.org,US,44,2024-10-16,premium,22.99,False,,tv_ad,tablet,War|Talk|Western,high
CUST_000161,michellehill@example.com,LV,68,2025-05-09,premium,22.99,False,,tv_ad,gaming_console,War|Action|Kids|Sci-Fi & Fantasy,high
CUST_000162,lori44@example.net,TT,67,2026-04-05,basic,9.99,False,,referral,mobile,Kids|Action & Adventure|Reality|Science Fiction,high
CUST_000163,cgrimes@example.net,RO,44,2025-09-04,premium,22.99,False,,paid_search,desktop,Music|Soap|Family|War,medium
CUST_000164,andrea86@example.com,LI,63,2025-01-03,premium,22.99,False,,paid_search,gaming_console,Fantasy|Action|Kids|News,high
CUST_000165,tinaallen@example.com,HT,47,2026-02-14,basic,9.99,False,,tv_ad,tablet,Kids|Reality|Animation|Western,high
CUST_000166,vwilliams@example.com,MA,30,2026-02-03,premium,22.99,False,,paid_search,tablet,Documentary|Science Fiction|Music|Sci-Fi & Fantasy,high
CUST_000167,qhughes@example.net,CZ,63,2026-03-20,premium,22.99,False,,referral,tablet,Fantasy|Comedy|Music,medium
CUST_000168,martineztammy@example.com,BZ,42,2025-04-29,standard,15.49,False,,referral,tablet,Sci-Fi & Fantasy|Comedy|Soap|Thriller,high
CUST_000169,dgarcia@example.org,WS,59,2026-02-18,basic,9.99,False,,social,desktop,Music|Mystery|Talk,high
CUST_000170,jpitts@example.org,PW,65,2024-07-30,basic,9.99,False,,tv_ad,mobile,Sci-Fi & Fantasy|Horror|Music|Drama,low
CUST_000171,matthew61@example.com,GQ,63,2025-12-08,basic,9.99,True,2026-09-05,organic,mobile,Adventure|Science Fiction|Romance|Soap,low
CUST_000172,ofinley@example.net,PS,48,2026-02-06,basic,9.99,False,,referral,mobile,History|Science Fiction,high
CUST_000173,williamsonjimmy@example.net,JO,52,2025-04-24,standard,15.49,False,,organic,mobile,Romance|Fantasy|Mystery|Science Fiction,medium
CUST_000174,hamiltoncorey@example.net,MA,29,2024-10-03,standard,15.49,False,,social,smart_tv,Romance|Animation,high
CUST_000175,wallaceheather@example.org,BD,52,2026-02-16,basic,9.99,False,,tv_ad,desktop,Soap|Western|Comedy|Crime,high
CUST_000176,carternicholas@example.org,HN,64,2024-12-17,basic,9.99,False,,referral,tablet,Sci-Fi & Fantasy|Family|Soap,medium
CUST_000177,yknight@example.org,DO,29,2025-05-27,premium,22.99,False,,tv_ad,desktop,Western|Comedy|Thriller|Documentary,high
CUST_000178,lynchpatrick@example.net,GY,26,2024-08-23,standard,15.49,False,,referral,tablet,Animation|Documentary,low
CUST_000179,jesselittle@example.com,IE,39,2025-05-01,basic,9.99,True,2025-11-01,tv_ad,gaming_console,Adventure|Crime|Fantasy,low
CUST_000180,nolansteven@example.com,GD,47,2025-09-09,basic,9.99,False,,social,mobile,Music|Adventure|Romance,high
CUST_000181,charleslandry@example.net,KG,36,2025-06-08,standard,15.49,False,,social,gaming_console,Fantasy|Comedy|Music|Soap,high
CUST_000182,dvaughn@example.com,FJ,56,2025-08-19,basic,9.99,False,,social,desktop,Kids|Drama,medium
CUST_000183,yrodriguez@example.net,MK,66,2025-02-02,premium,22.99,False,,paid_search,gaming_console,Fantasy|Horror|Documentary,high
CUST_000184,victoria40@example.net,MY,53,2025-06-30,basic,9.99,False,,tv_ad,mobile,Music|Talk|Mystery|Thriller,low
CUST_000185,knightgina@example.net,BE,61,2024-11-09,premium,22.99,False,,paid_search,gaming_console,Western|Reality,medium
CUST_000186,swall@example.org,UZ,54,2026-03-18,standard,15.49,True,2026-05-16,tv_ad,desktop,Crime|Romance|Drama|Reality,low
CUST_000187,jeffery39@example.com,GD,22,2025-12-23,premium,22.99,False,,organic,desktop,War|Animation|Sci-Fi & Fantasy|News,medium
CUST_000188,courtneyberger@example.net,BB,67,2025-11-17,standard,15.49,False,,paid_search,desktop,Romance|Mystery|Kids|Comedy,medium
CUST_000189,xjohnson@example.net,CO,60,2024-12-05,standard,15.49,False,,tv_ad,mobile,Crime|Animation|Mystery,high
CUST_000190,mark62@example.org,CO,26,2024-06-19,premium,22.99,False,,paid_search,smart_tv,Action & Adventure|Horror,medium
CUST_000191,alyssa42@example.com,RO,42,2025-12-11,basic,9.99,False,,paid_search,mobile,Documentary|News|Horror,medium
CUST_000192,julie51@example.com,BO,69,2025-12-27,standard,15.49,False,,referral,gaming_console,Family|News|Fantasy,low
CUST_000193,michelleramsey@example.com,TH,56,2024-07-28,basic,9.99,False,,organic,mobile,Soap|Action,low
CUST_000194,gibbsalexander@example.net,CM,67,2025-01-19,premium,22.99,True,2025-03-18,paid_search,gaming_console,Adventure|Horror|Family,medium
CUST_000195,emily49@example.com,DZ,38,2025-03-29,standard,15.49,False,,paid_search,tablet,Thriller|Western|Action|Fantasy,high
CUST_000196,daniel37@example.org,VN,55,2026-04-10,basic,9.99,False,,paid_search,desktop,Adventure|History|Comedy|Sci-Fi & Fantasy,low
CUST_000197,rose31@example.net,PL,38,2026-02-25,premium,22.99,False,,referral,desktop,Science Fiction|Documentary|Animation,high
CUST_000198,debra12@example.org,AZ,32,2026-03-17,basic,9.99,False,,social,mobile,Fantasy|Horror,medium
CUST_000199,pwilson@example.net,CR,34,2024-12-02,standard,15.49,False,,paid_search,tablet,History|Horror|Reality|Drama,medium
CUST_000200,vwatson@example.net,SR,30,2025-02-05,premium,22.99,True,2025-04-02,social,desktop,Talk|Mystery|Horror,medium
CUST_000201,nicolepena@example.com,VE,55,2025-03-01,premium,22.99,False,,tv_ad,mobile,Mystery|Family,high
CUST_000202,antonio53@example.com,PA,65,2025-02-20,standard,15.49,False,,organic,desktop,Comedy|War|Family,high
CUST_000203,cory58@example.net,MK,36,2024-10-10,basic,9.99,False,,referral,desktop,Family|Animation|Adventure|Horror,medium
CUST_000204,hhill@example.com,BW,47,2024-05-27,premium,22.99,False,,organic,desktop,Sci-Fi & Fantasy|Talk|Reality,high
CUST_000205,darleneharper@example.org,BE,32,2025-09-06,standard,15.49,False,,paid_search,smart_tv,Western|History|Romance,medium
CUST_000206,john29@example.org,BJ,39,2025-12-12,standard,15.49,False,,paid_search,desktop,Thriller|News|History|Comedy,low
CUST_000207,brendali@example.org,LS,66,2026-01-14,premium,22.99,False,,referral,desktop,Horror|Science Fiction|Documentary,medium
CUST_000208,kristinacarlson@example.com,CY,29,2025-12-02,standard,15.49,False,,tv_ad,smart_tv,Action & Adventure|Drama|News,medium
CUST_000209,lauren10@example.org,AL,44,2024-07-19,premium,22.99,True,2024-10-27,paid_search,smart_tv,Documentary|Romance,medium
CUST_000210,briannasmith@example.com,BF,57,2025-01-13,premium,22.99,False,,tv_ad,desktop,Reality|Crime,medium
CUST_000211,vfox@example.org,PY,51,2024-07-17,premium,22.99,False,,social,gaming_console,Horror|History,low
CUST_000212,william17@example.net,GN,51,2025-03-24,standard,15.49,True,2025-07-08,paid_search,mobile,Documentary|History|Action & Adventure|Soap,high
